date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:59	82523/82523	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problemset.php?	/home/dell/websites/sgu/acm.sgu.ru/problemsetd41d.html	(from )
21:07:59	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/robots.txt		(from )
21:07:59	1109/1109	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202009%2023:28:39%20GMT	http://acm.sgu.ru/templates.css	/home/dell/websites/sgu/acm.sgu.ru/templates.css	(from )
21:08:00	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/js/ui.datepicker.css	/home/dell/websites/sgu/acm.sgu.ru/js/ui.datepicker.2.delayed	(from )
21:08:00	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/js/jquery.js	/home/dell/websites/sgu/acm.sgu.ru/js/jquery.3.delayed	(from )
21:08:00	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/js/jquery.example.js	/home/dell/websites/sgu/acm.sgu.ru/js/jquery.example.4.delayed	(from )
21:08:01	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/js/ui.datepicker.js	/home/dell/websites/sgu/acm.sgu.ru/js/ui.datepicker.5.delayed	(from )
21:08:01	4441/4441	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Oct%202011%2019:14:31%20GMT	http://acm.sgu.ru/style-1024.css	/home/dell/websites/sgu/acm.sgu.ru/style-1024.css	(from )
21:08:02	9343/9343	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/index.php	/home/dell/websites/sgu/acm.sgu.ru/index.html	(from )
21:08:03	18474/18474	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/register.php	/home/dell/websites/sgu/acm.sgu.ru/register.html	(from )
21:08:03	18759/18759	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/news.php	/home/dell/websites/sgu/acm.sgu.ru/news.html	(from )
21:08:03	8893/8893	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/update.php	/home/dell/websites/sgu/acm.sgu.ru/update.html	(from )
21:08:04	9710/9710	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problemset.php?show_volumes	/home/dell/websites/sgu/acm.sgu.ru/problemset6bce.html	(from )
21:08:04	10816/10816	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/submit.php	/home/dell/websites/sgu/acm.sgu.ru/submit.html	(from )
21:08:06	19070/19070	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php	/home/dell/websites/sgu/acm.sgu.ru/status.html	(from )
21:08:11	51436/51436	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/standing.php	/home/dell/websites/sgu/acm.sgu.ru/standing.html	(from )
21:08:11	168/168	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/contests.php	/home/dell/websites/sgu/acm.sgu.ru/contests.f.delayed	(from )
21:08:12	5697/5697	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/vcontests.php	/home/dell/websites/sgu/acm.sgu.ru/vcontests.html	(from )
21:08:12	12411/12411	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/forum.php	/home/dell/websites/sgu/acm.sgu.ru/forum.html	(from )
21:08:14	15640/15640	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/statistic.php	/home/dell/websites/sgu/acm.sgu.ru/statistic.html	(from )
21:08:14	12481/12481	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/faq.php	/home/dell/websites/sgu/acm.sgu.ru/faq.html	(from )
21:08:15	10370/10370	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/links.php	/home/dell/websites/sgu/acm.sgu.ru/links.html	(from )
21:08:15	9587/9587	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/projects.php	/home/dell/websites/sgu/acm.sgu.ru/projects.html	(from )
21:08:17	9435/9435	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/poll_result.php?poll=14	/home/dell/websites/sgu/acm.sgu.ru/poll_result4d8a.html	(from )
21:08:17	807/807	---M--	200	added ('OK')	image/gif	date:Tue,%2002%20Nov%202004%2006:18:42%20GMT	http://acm.sgu.ru/pixel.gif	/home/dell/websites/sgu/acm.sgu.ru/pixel.17.delayed	(from )
21:08:19	1631/1631	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=100	/home/dell/websites/sgu/acm.sgu.ru/problem8414.html	(from )
21:08:19	715/715	---M--	200	added ('OK')	text/plain	etag:W/%22715-1384443662000%22	http://codeforces.com/robots.txt		(from http://acm.sgu.ru/problemset.php?)
21:08:22	18587/18587	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=100&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status429d.html	(from )
21:08:22	3040/3040	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=101	/home/dell/websites/sgu/acm.sgu.ru/problemf4c0.html	(from )
21:08:24	18474/18474	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=101&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status6fc2.html	(from )
21:08:25	1895/1895	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=102	/home/dell/websites/sgu/acm.sgu.ru/problem7303.html	(from )
21:08:27	18473/18473	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/status.php?problem=102&contest=0	/home/dell/websites/sgu/acm.sgu.ru/status7c8f.html	(from )
21:08:27	5350/5350	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202013%2023:19:34%20GMT	http://acm.sgu.ru/problem.php?contest=0&problem=103	/home/dell/websites/sgu/acm.sgu.ru/problem3aed.html	(from )
